date,home,away,score,tier,result
1932-04-30,Sheffield United,Newcastle United,0-3,1,A
1932-04-30,Southend United,Torquay United,4-2,3,H
1932-09-10,Torquay United,Southend United,8-1,3,H
1932-09-17,Carlisle United,Rotherham United,0-0,3,D
1932-10-08,Sheffield United,Newcastle United,3-1,1,H
1932-10-22,Sheffield United,Leeds United,0-0,1,D
1932-11-19,Carlisle United,Hartlepool United,3-1,3,H
1932-12-03,Newcastle United,Leeds United,3-1,1,H
1932-12-10,West Ham United,Manchester United,3-1,2,H
1933-01-21,Southend United,Torquay United,2-1,3,H
1933-01-28,Rotherham United,Carlisle United,1-0,3,H
1933-02-18,Newcastle United,Sheffield United,2-0,1,H
1933-03-04,Leeds United,Sheffield United,1-3,1,A
1933-04-01,Hartlepool United,Carlisle United,2-1,3,H
1933-04-14,Hartlepool United,Rotherham United,2-0,3,H
1933-04-15,Leeds United,Newcastle United,6-1,1,H
1933-04-17,Rotherham United,Hartlepool United,1-1,3,D
1933-04-22,Manchester United,West Ham United,1-2,2,A
1933-09-02,Leeds United,Newcastle United,3-0,1,H
1933-09-16,Rotherham United,Carlisle United,0-1,3,A
1933-11-04,Newcastle United,Sheffield United,3-1,1,H
1933-11-11,Hartlepool United,Carlisle United,3-2,3,H
1933-12-09,Sheffield United,Leeds United,2-1,1,H
1933-12-16,Rotherham United,Hartlepool United,4-2,3,H
1934-01-06,Newcastle United,Leeds United,2-0,1,H
1934-01-17,Southend United,Torquay United,3-1,3,H
1934-01-27,Carlisle United,Rotherham United,0-1,3,A
1934-03-17,Sheffield United,Newcastle United,4-0,1,H
1934-03-24,Carlisle United,Hartlepool United,4-1,3,H
1934-03-30,Manchester United,West Ham United,0-1,2,A
1934-04-02,West Ham United,Manchester United,2-1,2,H
1934-04-07,Torquay United,Southend United,3-0,3,H
1934-04-21,Leeds United,Sheffield United,1-1,1,D
1934-04-28,Hartlepool United,Rotherham United,4-0,3,H
1934-09-01,Sheffield United,Manchester United,3-2,2,H
1934-09-15,Carlisle United,Rotherham United,2-1,3,H
1934-10-06,Southend United,Torquay United,2-3,3,A
1934-10-13,West Ham United,Newcastle United,3-2,2,H
1934-10-20,Newcastle United,Manchester United,0-1,2,A
1934-10-27,Manchester United,West Ham United,3-1,2,H
1934-11-10,Sheffield United,Newcastle United,5-1,2,H
