date,home,away,score,tier,result
2000-12-22,Colchester United,Oxford United,3-2,3,H
2000-12-26,Newcastle United,Leeds United,2-1,1,H
2000-12-30,Newcastle United,Manchester United,1-1,1,D
2000-12-30,Southend United,Torquay United,1-1,4,D
2001-01-01,Manchester United,West Ham United,3-1,1,H
2001-01-20,Leeds United,Newcastle United,1-3,1,A
2001-01-20,Hartlepool United,Carlisle United,2-2,4,D
2001-01-27,Oxford United,Colchester United,0-1,3,A
2001-01-30,Peterborough United,Oxford United,4-2,3,H
2001-02-10,Rotherham United,Cambridge United,3-0,3,H
2001-02-13,Carlisle United,Hartlepool United,2-3,4,A
2001-02-20,Hartlepool United,Torquay United,3-1,4,H
2001-02-24,Scunthorpe United,Southend United,1-1,4,D
2001-02-27,Rotherham United,Colchester United,3-2,3,H
2001-03-03,Leeds United,Manchester United,1-1,1,D
2001-03-03,Torquay United,Scunthorpe United,0-2,4,A
2001-03-23,Carlisle United,Torquay United,1-0,4,H
2001-03-24,Oxford United,Rotherham United,4-3,3,H
2001-03-27,Cambridge United,Oxford United,1-0,3,H
2001-03-31,Peterborough United,Cambridge United,4-1,3,H
2001-04-07,Southend United,Hartlepool United,2-1,4,H
2001-04-16,Newcastle United,West Ham United,2-1,1,H
2001-04-16,Scunthorpe United,Carlisle United,3-0,4,H
2001-04-17,Colchester United,Peterborough United,2-2,3,D
2001-04-21,West Ham United,Leeds United,0-2,1,A
2001-04-21,Hartlepool United,Scunthorpe United,1-0,4,H
2001-04-28,Southend United,Carlisle United,1-1,4,D
2001-05-01,Cambridge United,Colchester United,2-1,3,H
2001-05-05,Peterborough United,Rotherham United,1-1,3,D
2001-08-23,Rotherham United,Sheffield United,1-1,2,D
2001-08-25,West Ham United,Leeds United,0-0,1,D
2001-08-27,Torquay United,Carlisle United,2-1,4,H
2001-09-08,Peterborough United,Cambridge United,1-0,3,H
2001-09-08,Scunthorpe United,Hartlepool United,1-0,4,H
2001-09-15,Newcastle United,Manchester United,4-3,1,H
2001-09-15,Southend United,Hartlepool United,0-0,4,D
2001-09-22,Oxford United,Southend United,2-0,4,H
2001-09-23,West Ham United,Newcastle United,3-0,1,H
2001-09-25,Southend United,Carlisle United,3-2,4,H
2001-09-25,Torquay United,Scunthorpe United,0-0,4,D
2001-09-29,Hartlepool United,Carlisle United,3-1,4,H
2001-10-05,Torquay United,Southend United,2-1,4,H
2001-10-20,Oxford United,Scunthorpe United,0-1,4,A
2001-10-20,Torquay United,Hartlepool United,1-0,4,H
2001-10-20,Colchester United,Cambridge United,3-1,3,H
2001-10-23,Oxford United,Carlisle United,1-1,4,D
2001-10-23,Scunthorpe United,Southend United,2-0,4,H
2001-10-27,Manchester United,Leeds United,1-1,1,D
2001-10-27,Hartlepool United,Oxford United,0-1,4,A
2001-12-01,Carlisle United,Scunthorpe United,3-0,4,H
2001-12-08,Manchester United,West Ham United,0-1,1,A
2001-12-15,Colchester United,Peterborough United,2-1,3,H
2001-12-22,Leeds United,Newcastle United,3-4,1,A
2001-12-22,Sheffield United,Rotherham United,2-2,2,D
2001-12-22,Torquay United,Oxford United,3-3,4,D
2001-12-29,Cambridge United,Peterborough United,0-0,3,D
2002-01-01,Leeds United,West Ham United,3-0,1,H
2002-01-02,Manchester United,Newcastle United,3-1,1,H
2002-01-12,Newcastle United,Leeds United,3-1,1,H
2002-01-22,Oxford United,Torquay United,1-1,4,D
2002-01-26,Southend United,Torquay United,1-1,4,D
2002-01-29,Hartlepool United,Scunthorpe United,3-2,4,H
2002-02-09,Cambridge United,Colchester United,1-2,3,A
2002-02-09,Hartlepool United,Torquay United,4-1,4,H
2002-02-09,Scunthorpe United,Oxford United,1-0,4,H
2002-02-19,Carlisle United,Torquay United,2-0,4,H
2002-02-23,Hartlepool United,Southend United,5-1,4,H
2002-03-02,Southend United,Oxford United,2-2,4,D
2002-03-05,Carlisle United,Southend United,0-0,4,D
2002-03-05,Scunthorpe United,Torquay United,1-0,4,H
2002-03-09,Peterborough United,Colchester United,3-1,3,H
2002-03-16,West Ham United,Manchester United,3-5,1,A
2002-03-16,Scunthorpe United,Carlisle United,2-1,4,H
2002-03-19,Carlisle United,Hartlepool United,0-2,4,A
2002-03-23,Carlisle United,Oxford United,2-1,4,H
2002-03-23,Southend United,Scunthorpe United,2-0,4,H
2002-03-30,Leeds United,Manchester United,3-4,1,A
2002-03-30,Oxford United,Hartlepool United,1-2,4,A
2002-04-27,Newcastle United,West Ham United,3-1,1,H
2002-08-10,Carlisle United,Hartlepool United,1-3,4,A
2002-08-13,Hartlepool United,Boston United,2-0,4,H
2002-08-13,Southend United,Carlisle United,0-1,4,A
2002-08-19,Newcastle United,West Ham United,4-0,1,H
2002-08-24,Oxford United,Southend United,0-1,4,A
2002-08-24,Torquay United,Hartlepool United,1-1,4,D
2002-08-26,Peterborough United,Colchester United,0-1,3,A
2002-08-26,Southend United,Cambridge United,2-1,4,H
2002-08-31,Oxford United,Hartlepool United,0-1,4,A
2002-09-07,Oxford United,Torquay United,2-2,4,D
2002-09-11,Newcastle United,Leeds United,0-2,1,A
2002-09-14,Leeds United,Manchester United,1-0,1,H
2002-09-14,Sheffield United,Rotherham United,1-0,2,H
2002-09-14,Boston United,Oxford United,1-3,4,A
2002-09-14,Torquay United,Cambridge United,3-2,4,H
2002-09-17,Scunthorpe United,Carlisle United,3-1,4,H
2002-09-21,Carlisle United,Boston United,4-2,4,H
2002-09-28,Boston United,Cambridge United,1-3,4,A
2002-10-05,Carlisle United,Torquay United,1-2,4,A
2002-10-05,Oxford United,Scunthorpe United,0-1,4,A
2002-10-12,Boston United,Torquay United,2-1,4,H
2002-10-12,Scunthorpe United,Cambridge United,1-2,4,A
2002-10-19,Cambridge United,Oxford United,1-1,4,D
2002-10-25,Southend United,Hartlepool United,0-1,4,A
2002-10-26,Scunthorpe United,Torquay United,5-1,4,H
2002-10-29,Cambridge United,Carlisle United,2-1,4,H
2002-11-02,Carlisle United,Oxford United,1-0,4,H
2002-11-09,Scunthorpe United,Boston United,2-0,4,H
2002-11-10,West Ham United,Leeds United,3-4,1,A
2002-11-17,West Ham United,Manchester United,1-1,1,D
2002-11-23,Manchester United,Newcastle United,5-3,1,H
2002-12-14,Manchester United,West Ham United,3-0,1,H
2002-12-14,Southend United,Boston United,4-2,4,H
2002-12-21,Hartlepool United,Scunthorpe United,2-2,4,D
2002-12-21,Torquay United,Southend United,3-1,4,H
2002-12-26,Colchester United,Peterborough United,1-1,3,D
2002-12-26,Cambridge United,Southend United,1-1,4,D
2002-12-28,Hartlepool United,Cambridge United,3-0,4,H
2002-12-29,Southend United,Scunthorpe United,1-2,4,A
2003-01-01,Hartlepool United,Carlisle United,2-1,4,H
2003-01-04,Boston United,Hartlepool United,0-1,4,A
2003-01-04,Carlisle United,Southend United,1-0,4,H
2003-01-11,West Ham United,Newcastle United,2-2,1,D
2003-01-18,Hartlepool United,Oxford United,3-1,4,H
2003-01-21,Southend United,Oxford United,2-1,4,H
2003-01-25,Cambridge United,Hartlepool United,0-0,4,D
2003-01-25,Scunthorpe United,Southend United,4-1,4,H
2003-02-01,Hartlepool United,Torquay United,3-2,4,H
2003-02-08,Leeds United,West Ham United,1-0,1,H
2003-02-08,Boston United,Scunthorpe United,1-0,4,H
2003-02-22,Leeds United,Newcastle United,0-3,1,A
2003-02-22,Torquay United,Oxford United,2-3,4,A
2003-02-28,Rotherham United,Sheffield United,1-2,2,A
2003-03-01,Cambridge United,Torquay United,0-1,4,A
2003-03-01,Oxford United,Boston United,2-1,4,H
2003-03-05,Manchester United,Leeds United,2-1,1,H
2003-03-08,Boston United,Carlisle United,0-0,4,D
2003-03-11,Carlisle United,Scunthorpe United,1-2,4,A
2003-03-15,Hartlepool United,Southend United,2-1,4,H
2003-03-15,Torquay United,Scunthorpe United,1-1,4,D
2003-03-18,Oxford United,Cambridge United,1-1,4,D
2003-03-22,Carlisle United,Cambridge United,0-1,4,A
2003-03-29,Cambridge United,Scunthorpe United,1-1,4,D
2003-03-29,Torquay United,Boston United,1-1,4,D
2003-04-01,Oxford United,Carlisle United,0-0,4,D
2003-04-12,Newcastle United,Manchester United,2-6,1,A
2003-04-19,Scunthorpe United,Hartlepool United,4-0,4,H
2003-04-19,Southend United,Torquay United,3-0,4,H
2003-04-21,Boston United,Southend United,1-0,4,H
2003-04-26,Scunthorpe United,Oxford United,2-0,4,H
2003-04-26,Torquay United,Carlisle United,2-3,4,A
2003-05-03,Cambridge United,Boston United,1-2,4,A
2003-08-09,Peterborough United,Hartlepool United,3-4,3,A
2003-08-16,West Ham United,Sheffield United,0-0,2,D
2003-08-17,Leeds United,Newcastle United,2-2,1,D
2003-08-23,Newcastle United,Manchester United,1-2,1,A
2003-08-23,Rotherham United,West Ham United,1-0,2,H
2003-08-23,Scunthorpe United,Oxford United,1-1,4,D
2003-08-25,Boston United,Carlisle United,1-0,4,H
2003-08-30,Carlisle United,Cambridge United,0-0,4,D
2003-08-30,Scunthorpe United,Torquay United,2-1,4,H
2003-09-06,Boston United,Scunthorpe United,1-1,4,D
2003-09-06,Oxford United,Southend United,2-0,4,H
2003-09-13,Cambridge United,Torquay United,1-1,4,D
2003-09-16,Sheffield United,Rotherham United,5-0,2,H
2003-09-17,Boston United,Cambridge United,1-2,4,A
2003-09-20,Peterborough United,Colchester United,1-2,3,A
2003-09-20,Southend United,Carlisle United,2-2,4,D
2003-09-27,Scunthorpe United,Southend United,1-1,4,D
2003-10-01,Oxford United,Torquay United,1-0,4,H
2003-10-04,Boston United,Oxford United,1-1,4,D
2003-10-18,Leeds United,Manchester United,0-1,1,A
2003-10-21,Carlisle United,Scunthorpe United,1-4,4,A
2003-10-21,Southend United,Boston United,0-2,4,A
2003-10-25,Boston United,Torquay United,4-0,4,H
2003-11-15,Cambridge United,Oxford United,1-1,4,D
2003-11-22,Scunthorpe United,Cambridge United,4-0,4,H
2003-11-29,Torquay United,Southend United,3-0,4,H
2003-12-13,Oxford United,Carlisle United,2-1,4,H
2003-12-20,Hartlepool United,Colchester United,0-0,3,D
2003-12-20,Carlisle United,Torquay United,2-0,4,H
2003-12-26,Cambridge United,Southend United,0-1,4,A
2003-12-28,Scunthorpe United,Boston United,0-1,4,A
2003-12-28,Southend United,Oxford United,0-1,4,A
2004-01-03,Carlisle United,Boston United,2-1,4,H
2004-01-07,Newcastle United,Leeds United,1-0,1,H
2004-01-10,Hartlepool United,Peterborough United,1-0,3,H
2004-01-11,Manchester United,Newcastle United,0-0,1,D
2004-01-17,Sheffield United,West Ham United,3-3,2,D
2004-01-31,West Ham United,Rotherham United,2-1,2,H
2004-02-07,Southend United,Cambridge United,1-0,4,H
2004-02-11,Oxford United,Scunthorpe United,3-2,4,H
2004-02-17,Cambridge United,Carlisle United,2-2,4,D
2004-02-21,Manchester United,Leeds United,1-1,1,D
2004-02-24,Torquay United,Scunthorpe United,1-0,4,H
2004-02-28,Torquay United,Boston United,2-0,4,H
2004-03-03,Boston United,Southend United,0-2,4,A
2004-03-06,Colchester United,Hartlepool United,1-2,3,A
2004-03-06,Torquay United,Carlisle United,4-1,4,H
2004-03-13,Carlisle United,Oxford United,2-0,4,H
2004-03-16,Rotherham United,Sheffield United,1-1,2,D
2004-03-16,Cambridge United,Boston United,0-1,4,A
2004-03-20,Torquay United,Cambridge United,3-0,4,H
2004-03-23,Scunthorpe United,Carlisle United,2-3,4,A
2004-03-27,Colchester United,Peterborough United,0-0,3,D
2004-03-27,Carlisle United,Southend United,1-2,4,A
2004-04-02,Southend United,Scunthorpe United,4-2,4,H
2004-04-09,Oxford United,Boston United,0-0,4,D
2004-04-12,Torquay United,Oxford United,3-0,4,H
2004-04-24,Oxford United,Cambridge United,2-2,4,D
2004-05-01,Cambridge United,Scunthorpe United,3-2,4,H
2004-05-08,Southend United,Torquay United,1-2,4,A
2004-08-07,Boston United,Oxford United,1-0,4,H
2004-08-14,Colchester United,Peterborough United,2-1,3,H
2004-08-14,Oxford United,Scunthorpe United,1-1,4,D
2004-08-21,Southend United,Cambridge United,0-0,4,D
2004-08-29,Sheffield United,Leeds United,2-0,2,H
2004-08-30,Hartlepool United,Colchester United,2-1,3,H
2004-09-04,Boston United,Cambridge United,2-1,4,H
2004-09-11,Sheffield United,West Ham United,1-2,2,A
2004-09-14,West Ham United,Rotherham United,1-0,2,H
2004-09-18,Hartlepool United,Torquay United,4-1,3,H
2004-10-02,Peterborough United,Torquay United,1-1,3,D
2004-10-02,Boston United,Scunthorpe United,2-1,4,H
2004-10-08,Southend United,Boston United,2-1,4,H
2004-10-19,Scunthorpe United,Southend United,3-2,4,H
2004-10-23,Peterborough United,Hartlepool United,3-0,3,H
2004-11-06,Southend United,Oxford United,4-0,4,H
2004-11-14,Newcastle United,Manchester United,1-3,1,A
2004-11-27,Torquay United,Colchester United,1-3,3,A
2004-11-29,Rotherham United,Leeds United,1-0,2,H
2004-12-07,Cambridge United,Scunthorpe United,1-2,4,A
2004-12-10,West Ham United,Leeds United,1-1,2,D
2004-12-11,Rotherham United,Sheffield United,2-2,2,D
2004-12-11,Oxford United,Cambridge United,2-1,4,H
2004-12-28,Rotherham United,West Ham United,2-2,2,D
2005-01-01,Cambridge United,Boston United,0-1,4,A
2005-01-03,West Ham United,Sheffield United,0-2,2,A
2005-01-12,Boston United,Southend United,2-0,4,H
2005-01-15,Torquay United,Hartlepool United,1-2,3,A
2005-01-29,Scunthorpe United,Boston United,1-1,4,D
2005-02-11,Southend United,Scunthorpe United,0-0,4,D
2005-02-15,Torquay United,Peterborough United,2-1,3,H
2005-02-26,Leeds United,West Ham United,2-1,2,H
2005-02-26,Sheffield United,Rotherham United,1-0,2,H
2005-02-26,Cambridge United,Oxford United,2-1,4,H
2005-03-19,Oxford United,Boston United,2-0,4,H
2005-03-25,Peterborough United,Colchester United,0-3,3,A
2005-03-25,Scunthorpe United,Oxford United,1-1,4,D
2005-03-28,Cambridge United,Southend United,0-2,4,A
2005-04-05,Leeds United,Sheffield United,0-4,2,A
2005-04-05,Hartlepool United,Peterborough United,2-2,3,D
2005-04-09,Colchester United,Hartlepool United,1-1,3,D
2005-04-16,Scunthorpe United,Cambridge United,4-0,4,H
2005-04-23,Oxford United,Southend United,2-1,4,H
2005-04-24,Manchester United,Newcastle United,2-1,1,H
2005-05-07,Colchester United,Torquay United,2-1,3,H
2005-05-08,Leeds United,Rotherham United,0-0,2,D
2005-08-09,Carlisle United,Peterborough United,1-0,4,H
2005-08-10,Oxford United,Torquay United,1-0,4,H
2005-08-20,Newcastle United,West Ham United,0-0,1,D
2005-08-26,Scunthorpe United,Southend United,1-0,3,H
2005-08-27,Peterborough United,Torquay United,0-0,4,D
2005-08-28,Newcastle United,Manchester United,0-2,1,A
2005-08-29,Hartlepool United,Scunthorpe United,3-3,3,D
2005-08-29,Southend United,Colchester United,3-1,3,H
2005-09-24,Rotherham United,Southend United,2-4,3,A
2005-09-27,Hartlepool United,Rotherham United,0-0,3,D
2005-10-01,Boston United,Peterborough United,1-0,4,H
2005-10-07,Oxford United,Carlisle United,1-0,4,H
2005-10-15,Scunthorpe United,Rotherham United,2-2,3,D
2005-10-21,Leeds United,Sheffield United,1-1,2,D
2005-10-22,Oxford United,Boston United,0-0,4,D
2005-10-29,Boston United,Torquay United,2-0,4,H
2005-11-12,Rotherham United,Colchester United,1-2,3,A
2005-11-12,Torquay United,Carlisle United,3-4,4,A
2005-11-19,Carlisle United,Oxford United,2-1,4,H
2005-11-27,West Ham United,Manchester United,1-2,1,A
2005-12-06,Hartlepool United,Colchester United,0-1,3,A
2005-12-10,Peterborough United,Carlisle United,1-1,4,D
2005-12-10,Torquay United,Oxford United,3-3,4,D
2005-12-17,West Ham United,Newcastle United,2-4,1,A
2005-12-28,Hartlepool United,Southend United,1-2,3,A
2006-01-10,Peterborough United,Oxford United,0-0,4,D
2006-01-18,Boston United,Carlisle United,0-5,4,A
2006-02-04,Rotherham United,Hartlepool United,0-0,3,D
2006-02-07,Colchester United,Scunthorpe United,1-0,3,H
2006-02-10,Southend United,Rotherham United,2-0,3,H
2006-03-04,Colchester United,Southend United,0-3,3,A
2006-03-10,Southend United,Scunthorpe United,3-0,3,H
2006-03-11,Torquay United,Peterborough United,1-0,4,H
2006-03-12,Manchester United,Newcastle United,2-0,1,H
2006-03-14,Scunthorpe United,Hartlepool United,2-0,3,H
2006-03-25,Scunthorpe United,Colchester United,0-0,3,D
2006-03-25,Southend United,Hartlepool United,3-0,3,H
2006-03-25,Carlisle United,Boston United,4-2,4,H
2006-03-25,Oxford United,Peterborough United,1-0,4,H
2006-03-29,Manchester United,West Ham United,1-0,1,H
2006-04-11,Colchester United,Hartlepool United,2-0,3,H
2006-04-15,Peterborough United,Boston United,0-1,4,A
2006-04-17,Boston United,Oxford United,1-0,4,H
2006-04-18,Sheffield United,Leeds United,1-1,2,D
2006-04-22,Rotherham United,Scunthorpe United,1-1,3,D
2006-04-29,Colchester United,Rotherham United,2-0,3,H
2006-04-29,Carlisle United,Torquay United,1-2,4,A
2006-05-06,Torquay United,Boston United,0-0,4,D
2006-08-09,Boston United,Peterborough United,0-1,4,A
2006-08-19,Rotherham United,Scunthorpe United,2-1,3,H
2006-08-19,Hartlepool United,Torquay United,1-1,4,D
2006-08-26,Hereford United,Hartlepool United,3-1,4,H
2006-09-01,Hartlepool United,Boston United,2-1,4,H
2006-09-17,West Ham United,Newcastle United,0-2,1,A
2006-09-23,Peterborough United,Hartlepool United,3-5,4,A
2006-10-01,Manchester United,Newcastle United,2-0,1,H
2006-10-28,Leeds United,Southend United,2-0,2,H
2006-11-04,Newcastle United,Sheffield United,0-1,1,A
2006-11-04,Carlisle United,Rotherham United,1-1,3,D
2006-11-11,Leeds United,Colchester United,3-0,2,H
2006-11-18,Sheffield United,Manchester United,1-2,1,A
2006-11-25,West Ham United,Sheffield United,1-0,1,H
2006-11-25,Colchester United,Southend United,3-0,2,H
2006-11-25,Boston United,Hereford United,1-1,4,D
2006-11-25,Peterborough United,Torquay United,5-2,4,H
2006-12-05,Hereford United,Peterborough United,0-0,4,D
2006-12-09,Carlisle United,Scunthorpe United,0-2,3,A
2006-12-09,Hereford United,Torquay United,1-1,4,D
2006-12-16,Torquay United,Boston United,0-1,4,A
2006-12-17,West Ham United,Manchester United,1-0,1,H
2006-12-30,Hartlepool United,Peterborough United,1-0,4,H
2007-01-01,Newcastle United,Manchester United,2-2,1,D
2007-01-20,Newcastle United,West Ham United,2-2,1,D
2007-02-17,Scunthorpe United,Rotherham United,1-0,3,H
2007-02-17,Torquay United,Hartlepool United,0-1,4,A
2007-02-20,Peterborough United,Boston United,1-1,4,D
2007-02-24,Boston United,Hartlepool United,0-1,4,A
2007-03-03,Hartlepool United,Hereford United,3-2,4,H
2007-03-17,Southend United,Leeds United,1-1,2,D
2007-04-06,Southend United,Colchester United,0-3,2,A
2007-04-07,Sheffield United,Newcastle United,1-2,1,A
2007-04-09,Colchester United,Leeds United,2-1,2,H
2007-04-14,Torquay United,Peterborough United,1-1,4,D
2007-04-14,Hereford United,Boston United,3-0,4,H
2007-04-14,Rotherham United,Carlisle United,0-1,3,A
2007-04-14,Sheffield United,West Ham United,3-0,1,H
2007-04-17,Manchester United,Sheffield United,2-0,1,H
2007-04-21,Peterborough United,Hereford United,3-0,4,H
2007-04-28,Boston United,Torquay United,1-1,4,D
2007-05-05,Scunthorpe United,Carlisle United,3-0,3,H
2007-05-05,Torquay United,Hereford United,0-0,4,D
2007-05-13,Manchester United,West Ham United,0-1,1,A
2007-08-11,Sheffield United,Colchester United,2-2,2,D
2007-08-11,Hereford United,Rotherham United,0-0,4,D
2007-08-18,Leeds United,Southend United,4-1,3,H
2007-08-19,Rotherham United,Peterborough United,3-1,4,H
2007-09-01,Scunthorpe United,Sheffield United,3-2,2,H
2007-09-08,Leeds United,Hartlepool United,2-0,3,H
2007-09-23,Newcastle United,West Ham United,3-1,1,H
2007-09-29,Colchester United,Scunthorpe United,0-1,2,A
2007-10-02,Hartlepool United,Carlisle United,2-2,3,D
2007-10-27,Southend United,Carlisle United,0-1,3,A
2007-10-27,Peterborough United,Hereford United,1-1,4,D
2007-11-03,Carlisle United,Leeds United,3-1,3,H
2007-12-26,Hartlepool United,Leeds United,1-1,3,D
2007-12-29,West Ham United,Manchester United,2-1,1,H
2008-01-01,Carlisle United,Hartlepool United,4-2,3,H
2008-01-12,Manchester United,Newcastle United,6-0,1,H
2008-01-22,Hartlepool United,Southend United,4-3,3,H
2008-01-29,Southend United,Leeds United,1-0,3,H
2008-01-29,Peterborough United,Rotherham United,3-1,4,H
2008-02-02,Colchester United,Sheffield United,2-2,2,D
2008-02-02,Rotherham United,Hereford United,0-1,4,A
2008-02-09,Sheffield United,Scunthorpe United,0-0,2,D
2008-02-09,Southend United,Hartlepool United,2-1,3,H
2008-02-23,Newcastle United,Manchester United,1-5,1,A
2008-04-12,Leeds United,Carlisle United,3-2,3,H
2008-04-19,Carlisle United,Southend United,1-2,3,A
2008-04-19,Hereford United,Peterborough United,0-1,4,A
2008-04-26,West Ham United,Newcastle United,2-2,1,D
2008-05-03,Manchester United,West Ham United,4-1,1,H
2008-05-04,Scunthorpe United,Colchester United,3-3,2,D
2008-08-09,Hartlepool United,Colchester United,4-2,3,H
2008-08-09,Scunthorpe United,Leeds United,1-2,3,A
2008-08-09,Southend United,Peterborough United,1-0,3,H
2008-08-17,Manchester United,Newcastle United,1-1,1,D
2008-08-23,Scunthorpe United,Peterborough United,1-0,3,H
2008-08-30,Peterborough United,Hartlepool United,1-2,3,A
2008-09-06,Carlisle United,Southend United,2-1,3,H
2008-09-13,Scunthorpe United,Carlisle United,2-1,3,H
2008-09-13,Southend United,Hereford United,1-0,3,H
2008-09-20,West Ham United,Newcastle United,3-1,1,H
2008-09-20,Carlisle United,Leeds United,0-2,3,A
2008-09-20,Hereford United,Scunthorpe United,1-2,3,A
2008-09-27,Leeds United,Hereford United,1-0,3,H
2008-10-04,Peterborough United,Leeds United,2-0,3,H
2008-10-18,Carlisle United,Peterborough United,3-3,3,D
2008-10-21,Hereford United,Carlisle United,1-0,3,H
2008-10-21,Scunthorpe United,Southend United,1-1,3,D
2008-10-25,Colchester United,Carlisle United,5-0,3,H
2008-10-28,Carlisle United,Hartlepool United,0-1,3,A
2008-10-28,Southend United,Leeds United,1-0,3,H
2008-10-29,Manchester United,West Ham United,2-0,1,H
2008-11-01,Peterborough United,Hereford United,2-0,3,H
2008-11-01,Southend United,Colchester United,3-3,3,D
2008-11-22,Leeds United,Hartlepool United,4-1,3,H
2008-11-22,Peterborough United,Colchester United,2-1,3,H
2008-12-06,Colchester United,Hereford United,1-2,3,A
2008-12-13,Hereford United,Hartlepool United,1-1,3,D
2008-12-13,Leeds United,Colchester United,1-2,3,A
2008-12-19,Hartlepool United,Southend United,3-0,3,H
2008-12-20,Colchester United,Scunthorpe United,0-0,3,D
2008-12-26,Scunthorpe United,Hartlepool United,3-0,3,H
2009-01-10,Newcastle United,West Ham United,2-2,1,D
2009-01-10,Leeds United,Carlisle United,0-2,3,A
2009-01-24,Leeds United,Peterborough United,3-1,3,H
2009-01-27,Hartlepool United,Carlisle United,2-2,3,D
2009-01-27,Leeds United,Southend United,2-0,3,H
2009-01-31,Carlisle United,Colchester United,0-2,3,A
2009-02-08,West Ham United,Manchester United,0-1,1,A
2009-02-17,Hereford United,Leeds United,2-0,3,H
2009-02-21,Colchester United,Southend United,0-1,3,A
2009-02-21,Hereford United,Peterborough United,0-1,3,A
2009-02-24,Peterborough United,Carlisle United,1-0,3,H
2009-02-24,Southend United,Scunthorpe United,2-0,3,H
2009-02-28,Colchester United,Hartlepool United,1-1,3,D
2009-02-28,Leeds United,Scunthorpe United,3-2,3,H
2009-02-28,Peterborough United,Southend United,1-2,3,A
2009-03-04,Newcastle United,Manchester United,1-2,1,A
2009-03-07,Hartlepool United,Peterborough United,1-2,3,A
2009-03-10,Peterborough United,Scunthorpe United,2-1,3,H
2009-03-14,Carlisle United,Scunthorpe United,1-1,3,D
2009-03-14,Hereford United,Southend United,0-1,3,A
2009-03-17,Scunthorpe United,Hereford United,3-0,3,H
2009-03-21,Southend United,Carlisle United,3-0,3,H
2009-03-24,Carlisle United,Hereford United,1-2,3,A
2009-03-27,Southend United,Hartlepool United,3-2,3,H
2009-03-28,Scunthorpe United,Colchester United,3-0,3,H
2009-04-04,Colchester United,Leeds United,0-1,3,A
2009-04-04,Hartlepool United,Hereford United,4-2,3,H
2009-04-13,Hartlepool United,Scunthorpe United,2-3,3,A
2009-04-18,Hereford United,Colchester United,0-2,3,A
2009-04-25,Colchester United,Peterborough United,0-1,3,A
2009-04-25,Hartlepool United,Leeds United,0-1,3,A
2009-08-29,Colchester United,Leeds United,1-2,3,A
2009-09-11,Southend United,Leeds United,0-0,3,D
2009-09-19,Colchester United,Hartlepool United,2-0,3,H
2009-09-29,Leeds United,Carlisle United,1-1,3,D
2009-10-10,Rotherham United,Hereford United,1-1,4,D
2009-10-17,Scunthorpe United,Sheffield United,3-1,2,H
2009-10-20,Scunthorpe United,Newcastle United,2-1,2,H
2009-10-24,Peterborough United,Scunthorpe United,3-0,2,H
2009-10-24,Carlisle United,Southend United,2-1,3,H
2009-11-02,Sheffield United,Newcastle United,0-1,2,A
2009-11-07,Newcastle United,Peterborough United,3-1,2,H
2009-11-21,Sheffield United,Peterborough United,1-0,2,H
2009-11-21,Torquay United,Rotherham United,0-2,4,A
2009-12-01,Carlisle United,Hartlepool United,3-2,3,H
2009-12-05,West Ham United,Manchester United,0-4,1,A
2009-12-12,Southend United,Hartlepool United,3-2,3,H
2009-12-26,Leeds United,Hartlepool United,3-1,3,H
2009-12-26,Southend United,Colchester United,1-2,3,A
2009-12-26,Torquay United,Hereford United,1-0,4,H
2010-01-30,Leeds United,Colchester United,2-0,3,H
2010-02-02,Colchester United,Carlisle United,2-1,3,H
2010-02-06,Hartlepool United,Leeds United,2-2,3,D
2010-02-06,Hereford United,Torquay United,1-0,4,H
2010-02-08,Colchester United,Southend United,2-0,3,H
2010-02-19,Rotherham United,Torquay United,1-1,4,D
2010-02-23,Manchester United,West Ham United,3-0,1,H
2010-02-23,Hartlepool United,Carlisle United,4-1,3,H
2010-03-06,Hartlepool United,Southend United,3-0,3,H
2010-03-09,Peterborough United,Sheffield United,1-0,2,H
2010-03-13,Carlisle United,Colchester United,2-1,3,H
2010-03-17,Newcastle United,Scunthorpe United,3-0,2,H
2010-03-20,Southend United,Carlisle United,2-2,3,D
2010-03-23,Scunthorpe United,Peterborough United,4-0,2,H
2010-03-28,Sheffield United,Scunthorpe United,0-1,2,A
2010-04-03,Peterborough United,Newcastle United,2-3,2,A
2010-04-05,Newcastle United,Sheffield United,2-1,2,H
2010-04-10,Leeds United,Southend United,2-0,3,H
2010-04-13,Carlisle United,Leeds United,1-3,3,A
2010-04-17,Hartlepool United,Colchester United,3-1,3,H
2010-05-08,Hereford United,Rotherham United,3-0,4,H
2010-08-16,Manchester United,Newcastle United,3-0,1,H
2010-08-27,Colchester United,Carlisle United,1-1,3,D
2010-08-28,Manchester United,West Ham United,3-0,1,H
2010-08-28,Hereford United,Rotherham United,0-1,4,A
2010-09-04,Southend United,Torquay United,2-1,4,H
2010-09-11,Hereford United,Oxford United,0-2,4,A
2010-09-14,Sheffield United,Scunthorpe United,0-4,2,A
2010-09-25,Leeds United,Sheffield United,1-0,2,H
2010-09-25,Hereford United,Southend United,1-3,4,A
2010-09-28,Hartlepool United,Carlisle United,0-4,3,A
2010-10-02,Carlisle United,Peterborough United,0-1,3,A
2010-10-09,Hartlepool United,Peterborough United,2-0,3,H
2010-10-23,West Ham United,Newcastle United,1-2,1,A
2010-10-30,Scunthorpe United,Leeds United,1-4,2,A
